20	22
3	42	42	41	41	4	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
16	26	30	30	27	15	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
16	31	11	9	32	15	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
16	31	9	17	32	15	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
16	31	17	17	32	15	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
16	31	17	17	32	15	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
16	31	17	17	32	15	-1	-1	-1	-1	-1	-1	-1	-1	-1	3	41	42	41	41	41	4
16	31	17	17	34	1	42	41	4	-1	-1	-1	-1	-1	-1	16	26	30	30	30	27	15
16	31	17	17	17	28	30	27	15	-1	-1	-1	-1	-1	-1	16	31	17	17	9	32	15
16	31	17	17	17	17	17	34	1	41	41	13	14	42	41	2	33	17	17	17	32	15
16	31	17	17	17	17	17	17	28	30	30	30	30	30	30	29	17	17	17	17	32	15
16	31	17	17	9	17	17	17	17	17	17	17	10	17	17	17	17	17	17	17	32	15
16	31	17	17	17	9	9	17	17	17	17	10	9	17	17	17	17	17	17	17	32	8
16	31	17	17	17	17	17	17	17	17	17	17	9	9	17	17	17	17	17	17	32	-1
16	31	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	32	-1
16	31	17	9	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	32	15
16	31	9	17	17	17	17	17	9	17	17	17	17	17	17	17	17	17	17	9	32	15
16	31	11	9	17	17	17	17	17	9	17	17	17	17	17	17	17	9	9	9	32	15
16	31	10	11	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	11	32	15
7	43	43	43	43	43	43	43	43	43	43	43	43	43	43	43	43	43	43	43	43	8
