14	39
-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	3	41	41	42	41	41	4	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	16	26	30	30	30	27	15	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	16	31	17	10	9	32	15	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	16	31	9	17	17	32	15	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
3	41	41	42	41	41	41	41	41	41	41	42	42	41	2	33	17	17	17	34	1	41	41	42	41	41	41	41	41	41	41	41	13	14	41	42	42	41	4
16	26	30	30	30	30	30	30	30	30	30	30	30	30	37	17	17	17	17	17	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	27	15
16	31	10	17	17	17	9	17	17	17	17	17	11	11	39	17	17	10	17	17	17	17	17	17	17	17	17	17	17	17	17	17	11	17	17	17	17	32	15
16	31	17	17	17	17	17	17	17	17	17	17	9	11	39	17	17	17	17	17	17	17	17	9	17	17	17	17	17	17	17	17	17	17	17	9	17	32	15
16	31	17	17	17	17	17	17	17	17	17	17	17	9	39	17	17	17	17	17	17	17	17	17	10	17	17	17	17	17	17	17	17	17	17	10	17	32	15
16	31	17	10	17	17	17	17	17	17	17	17	17	11	39	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	9	32	15
16	31	17	17	17	17	17	17	17	17	17	17	17	17	39	17	17	17	17	17	17	9	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	32	15
7	43	43	43	43	43	13	14	43	43	43	43	43	43	6	35	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	32	15
-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	16	31	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	10	17	17	17	17	32	15
-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	7	43	43	43	43	43	43	43	43	43	43	43	43	43	43	43	43	43	43	43	43	43	43	43	8
