24	31
3	41	41	42	41	41	41	41	41	41	41	41	41	41	42	42	42	41	41	41	41	41	41	41	41	41	41	42	42	41	4
16	26	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	38	30	30	30	30	30	30	30	30	30	30	27	15
16	31	9	17	17	17	17	17	10	17	17	17	17	17	17	17	17	9	40	11	17	17	17	9	17	17	17	17	10	32	15
16	31	17	9	17	17	17	17	17	17	17	17	17	17	17	17	17	10	40	17	10	17	17	17	17	17	17	17	17	32	15
16	31	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	40	9	17	17	17	17	17	17	17	17	17	32	15
16	31	17	17	17	10	17	17	17	17	11	9	17	17	17	17	9	17	40	9	17	17	17	17	17	17	10	17	17	32	15
16	31	17	17	17	17	17	17	17	17	17	11	17	17	17	17	17	17	40	17	17	17	17	17	17	17	17	9	17	32	15
7	43	43	43	43	43	43	43	43	43	13	14	43	43	43	43	43	43	6	35	9	10	17	17	17	17	17	17	17	32	15
-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	16	31	17	17	9	17	17	17	17	17	17	32	15
-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	16	31	17	17	17	17	17	17	17	17	17	32	15
-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	16	31	17	17	17	17	17	17	17	17	17	32	15
-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	16	31	17	17	17	17	17	9	17	17	17	32	15
-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	16	31	17	17	17	17	17	10	17	17	17	32	15
-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	16	31	17	17	17	17	17	17	9	17	17	32	15
-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	16	31	9	17	17	17	17	17	17	17	17	32	15
-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	16	31	17	9	17	17	17	17	17	17	17	32	15
-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	16	31	17	17	17	17	17	17	17	17	17	32	15
-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	16	31	17	17	17	17	17	17	17	17	17	32	15
-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	16	31	17	17	17	17	17	17	17	17	9	32	15
-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	16	31	17	17	17	17	17	17	17	17	17	32	15
-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	16	31	9	17	17	17	17	17	17	17	17	32	15
-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	16	31	17	9	17	17	17	17	17	17	17	32	15
-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	16	31	17	9	17	17	17	17	17	17	17	32	15
-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	7	43	13	14	43	43	43	43	43	43	43	43	8
