21	27
3	41	13	14	41	42	41	41	41	41	41	42	42	41	41	41	41	41	41	41	41	42	42	41	41	42	4
16	26	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	27	15
16	31	18	22	22	22	22	22	22	22	22	22	22	22	22	22	22	22	22	22	22	22	22	22	19	32	15
16	31	24	10	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	9	9	9	17	25	32	15
16	31	24	17	18	22	22	22	22	22	22	22	22	22	22	22	22	22	22	22	22	22	19	17	25	32	15
16	31	24	17	24	17	17	17	17	17	17	17	17	17	17	17	17	17	17	9	9	17	25	17	25	32	15
7	31	24	17	24	17	18	22	22	22	22	22	22	22	22	22	22	22	22	22	19	17	25	17	25	32	15
-1	31	24	17	24	17	24	9	9	17	17	17	17	17	17	17	17	9	9	17	25	17	25	17	25	32	15
-1	31	24	17	24	17	24	10	18	22	22	22	22	22	22	22	22	22	19	17	25	17	25	17	25	32	15
16	31	24	17	24	17	24	17	24	9	17	17	17	17	17	17	17	10	25	17	25	17	25	17	25	32	-1
16	31	24	17	24	17	24	17	24	17	17	9	12	12	12	17	17	17	25	17	25	17	25	17	25	32	-1
16	31	24	17	24	17	24	17	24	17	17	17	17	17	10	10	17	17	25	17	25	17	25	17	25	32	-1
16	31	24	17	24	17	24	17	20	23	23	23	23	23	23	23	23	23	21	17	25	17	25	17	25	32	15
16	31	24	17	24	17	24	17	17	17	17	17	17	17	17	17	17	17	9	9	25	17	25	17	25	32	15
16	31	24	17	24	9	20	23	23	23	23	23	23	23	23	23	23	23	23	23	21	17	25	17	25	32	15
7	31	24	17	24	9	10	17	17	17	17	17	17	17	17	17	17	17	17	17	17	10	25	17	25	32	15
-1	31	24	17	20	23	23	23	23	23	23	23	23	23	23	23	23	23	23	23	23	23	21	17	25	32	15
-1	31	24	17	17	17	17	17	9	17	17	17	17	17	17	17	17	9	9	17	17	17	17	17	25	32	15
16	31	20	23	23	23	23	23	23	23	23	23	23	23	23	23	23	23	23	23	23	23	23	23	21	32	15
16	31	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	9	17	17	17	17	17	9	9	32	15
7	43	43	43	43	43	43	43	43	43	43	43	43	43	43	43	43	43	43	43	43	43	43	43	43	43	8
