10	60
3	41	41	41	41	42	13	14	41	41	41	42	42	41	4	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
16	26	30	30	30	30	30	30	30	30	30	30	30	27	15	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
16	31	17	17	17	17	11	17	17	17	17	17	17	34	1	41	41	41	42	42	41	41	41	41	41	42	41	41	41	41	41	41	42	41	41	41	41	41	41	41	41	41	41	41	41	41	41	41	41	41	41	41	42	42	41	41	41	41	42	4
16	31	17	17	17	17	17	10	17	17	17	17	17	17	28	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	27	15
16	31	9	17	17	17	17	17	17	17	17	17	17	10	17	17	17	17	17	17	17	9	17	17	17	17	17	17	17	17	17	17	17	9	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	32	8
7	43	43	43	43	6	35	17	17	17	17	17	9	9	17	17	17	17	17	17	9	17	17	17	17	17	17	17	17	17	17	17	17	17	17	9	11	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	10	9	17	17	17	32	-1
-1	-1	-1	-1	-1	16	31	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	9	17	17	17	17	10	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	9	11	17	17	17	17	17	32	-1
-1	-1	-1	-1	-1	16	31	17	17	9	17	17	17	17	17	17	17	17	17	17	17	17	17	9	17	17	17	17	17	9	9	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	10	17	17	17	17	17	17	17	32	15
-1	-1	-1	-1	-1	16	31	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	32	15
-1	-1	-1	-1	-1	7	43	43	43	43	43	43	43	43	43	43	43	43	43	43	43	43	43	43	43	43	43	43	43	43	43	43	43	43	43	43	43	43	43	43	43	43	43	43	43	43	43	43	43	43	43	43	43	43	43	43	43	43	43	8
